sequenceID=1;timestamp=1667286157805900;time=04.11.2023 11:15:05;picture=+--------------+|        ACFEF ||        CAEAF ||        CFCAE ||              |+--------------++---[VW38GP]---++--------------+;licensePlate=VW38GP;manufacturer=ASTON MARTIN;name=Gwen Houston;birthDate=Tue Sep 28 00:00:00 CET 1976;phoneNumber=1704876951845;allowedSpeed=50;measuredSpeed=56;measuredSpeedAfterDeductingTolerance=53;penalty=58.5
sequenceID=2;timestamp=1667286161113800;time=04.11.2023 11:15:05;picture=+--------------+|        ECEFF ||        FAFFC ||        CCEFE ||              |+--------------++---[DZ8B9G]---++--------------+;licensePlate=DZ8B9G;manufacturer=TESLA;name=Evelyn Burns;birthDate=Sat Nov 06 00:00:00 CET 1965;phoneNumber=1791985553064;allowedSpeed=50;measuredSpeed=84;measuredSpeedAfterDeductingTolerance=81;penalty=288.5
sequenceID=3;timestamp=1667286164286400;time=04.11.2023 11:15:05;picture=+--------------+|        EEFAC ||        CAAEA ||        FEFEA ||              |+--------------++---[HZLWL0]---++--------------+;licensePlate=HZLWL0;manufacturer=TOYOTA;name=Pamela Vaughn;birthDate=Fri Nov 04 00:00:00 CET 1960;phoneNumber=1776608957225;allowedSpeed=50;measuredSpeed=64;measuredSpeedAfterDeductingTolerance=61;penalty=78.5
sequenceID=4;timestamp=1667286167452300;time=04.11.2023 11:15:05;picture=+--------------+|        FAEEF ||        ECCFF ||        CFCEF ||              |+--------------++---[AJ7D56]---++--------------+;licensePlate=AJ7D56;manufacturer=VOLKSWAGEN;name=Dominic Herrera;birthDate=Sun Sep 23 00:00:00 CEST 1990;phoneNumber=1716828398264;allowedSpeed=50;measuredSpeed=69;measuredSpeedAfterDeductingTolerance=66;penalty=98.5
sequenceID=5;timestamp=1667286174568300;time=04.11.2023 11:15:05;picture=+--------------+|        AAECC ||        AEFAC ||        EEFAE ||              |+--------------++---[KJMXVE]---++--------------+;licensePlate=KJMXVE;manufacturer=LEXUS;name=Terry Ryan;birthDate=Wed Jan 11 00:00:00 CET 1989;phoneNumber=1515145631417;allowedSpeed=50;measuredSpeed=129;measuredSpeedAfterDeductingTolerance=126;penalty=843.5
sequenceID=6;timestamp=1667286177648900;time=04.11.2023 11:15:05;picture=+--------------+|        FECFE ||        FFFCF ||        AEACC ||              |+--------------++---[T8KV9Q]---++--------------+;licensePlate=T8KV9Q;manufacturer=PORSCHE;name=Amanda Williams;birthDate=Tue Aug 06 00:00:00 CEST 1991;phoneNumber=1759184645467;allowedSpeed=50;measuredSpeed=64;measuredSpeedAfterDeductingTolerance=61;penalty=78.5
sequenceID=7;timestamp=1667286188988400;time=04.11.2023 11:15:05;picture=+--------------+|        AEAFF ||        EFCCA ||        EECFA ||              |+--------------++---[TK3Z81]---++--------------+;licensePlate=TK3Z81;manufacturer=TESLA;name=Wilbert Wolfe;birthDate=Thu Jul 23 00:00:00 CEST 1998;phoneNumber=1604649467382;allowedSpeed=50;measuredSpeed=55;measuredSpeedAfterDeductingTolerance=52;penalty=58.5
sequenceID=8;timestamp=1667286193161000;time=04.11.2023 11:15:05;picture=+--------------+|        CAAAE ||        ECCCF ||        AFEFC ||              |+--------------++---[PXRDFN]---++--------------+;licensePlate=PXRDFN;manufacturer=ASTON MARTIN;name=Earnest Sanders;birthDate=Sun Oct 27 00:00:00 CET 1991;phoneNumber=1629429416678;allowedSpeed=50;measuredSpeed=69;measuredSpeedAfterDeductingTolerance=66;penalty=98.5
sequenceID=9;timestamp=1667286195698100;time=04.11.2023 11:15:05;picture=+--------------+|        FEEAF ||        CFAEF ||        AFAAC ||              |+--------------++---[Z4DZFH]---++--------------+;licensePlate=Z4DZFH;manufacturer=LEXUS;name=Carlos Craig;birthDate=Wed Feb 25 00:00:00 CET 1959;phoneNumber=1603401524546;allowedSpeed=50;measuredSpeed=56;measuredSpeedAfterDeductingTolerance=53;penalty=58.5
sequenceID=10;timestamp=1667286198110100;time=04.11.2023 11:15:05;picture=+--------------+|        ECCFF ||        AAECA ||        AFEEC ||              |+--------------++---[0Y4J70]---++--------------+;licensePlate=0Y4J70;manufacturer=VOLKSWAGEN;name=Cathy Benson;birthDate=Mon Oct 19 00:00:00 CET 1953;phoneNumber=1799184104025;allowedSpeed=50;measuredSpeed=68;measuredSpeedAfterDeductingTolerance=65;penalty=78.5
sequenceID=11;timestamp=1667286201133400;time=04.11.2023 11:15:05;picture=+--------------+|        FEFEE ||        AFFCF ||        EFCCE ||              |+--------------++---[4NY8UW]---++--------------+;licensePlate=4NY8UW;manufacturer=TOYOTA;name=Anna Butler;birthDate=Sun Aug 17 00:00:00 CET 1958;phoneNumber=1773852826744;allowedSpeed=50;measuredSpeed=55;measuredSpeedAfterDeductingTolerance=52;penalty=58.5
sequenceID=12;timestamp=1667286203988600;time=04.11.2023 11:15:05;picture=+--------------+|        AACEC ||        FFCAC ||        FFACC ||              |+--------------++---[CUBULO]---++--------------+;licensePlate=CUBULO;manufacturer=BWM;name=Nellie Riley;birthDate=Sat Apr 05 00:00:00 CET 1952;phoneNumber=1787107714666;allowedSpeed=50;measuredSpeed=74;measuredSpeedAfterDeductingTolerance=71;penalty=143.5
